01 фев 2020 19:58:48,989 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,398 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,414 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,539 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,539 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,570 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,570 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,586 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 13508, Current connections count : 2
01 фев 2020 19:58:50,586 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,586 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:50,633 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2960, Current connections count : 2
01 фев 2020 19:58:51,679 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 9440, Time : 1124, Current connections count : 3
01 фев 2020 19:58:51,679 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 9440, Current connections count : 3
01 фев 2020 19:58:51,695 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 9440, Current connections count : 3
01 фев 2020 19:58:51,695 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 9440, Current connections count : 3
01 фев 2020 19:58:51,711 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 9440, Current connections count : 3
